candidates,party_short,color,list
4765,SVP,#4F7942,SVP
4780,JFS,#0000FF,FDP
4787,SVP,#4F7942,SVP
4794,Parteilos,#888888,Übrige
4796,GLP,#32CD32,GLP
4804,JSVP,#4F7942,SVP
4807,SP,#FF0000,SP
4808,GLP,#32CD32,GLP
4809,JG,#008000,Grüne
4814,Die Mitte,#C56C46,Mitte
4822,Übrige,#888888,Übrige
4825,JEVP,#FFA500,EVP
4826,Übrige,#888888,Übrige
4829,Übrige,#888888,Übrige
4838,EDU,#00008B,EDU
4846,Parteilos,#888888,Übrige
4858,SP,#FF0000,SP
4861,JFS,#0000FF,FDP
4866,SP,#FF0000,SP
4877,Übrige,#888888,Übrige
4883,Die Mitte,#C56C46,Mitte
4884,Die Mitte,#C56C46,Mitte
4885,SP,#FF0000,SP
4890,JM,#C56C46,Mitte
4897,GLP,#32CD32,GLP
4900,Die Mitte,#C56C46,Mitte
4927,SVP,#4F7942,SVP
4929,SP,#FF0000,SP
4937,GLP,#32CD32,GLP
4942,GLP,#32CD32,GLP
4948,SP,#FF0000,SP
4951,SP,#FF0000,SP
4952,JEVP,#FFA500,EVP
4953,GLP,#32CD32,GLP
4954,Die Mitte,#C56C46,Mitte
4963,Grüne,#008000,Grüne
4964,Übrige,#888888,Übrige
4965,SP,#FF0000,SP
4972,Übrige,#888888,Übrige
4975,Die Mitte,#C56C46,Mitte
4987,EVP,#FFA500,EVP
4988,FDP,#0000FF,FDP
4991,SVP,#4F7942,SVP
5003,GLP,#32CD32,GLP
5016,Grüne,#008000,Grüne
5017,GLP,#32CD32,GLP
5027,SP,#FF0000,SP
5040,GLP,#32CD32,GLP
5045,EVP,#FFA500,EVP
5046,Grüne,#008000,Grüne
5049,Parteilos,#888888,Übrige
5062,PdA,#888888,Übrige
5065,JGLP,#32CD32,GLP
5072,SVP,#4F7942,SVP
5073,JM,#C56C46,Mitte
5075,JEVP,#FFA500,EVP
5076,Grüne,#008000,Grüne
5080,SVP,#4F7942,SVP
5088,GLP,#32CD32,GLP
5098,Die Mitte,#C56C46,Mitte
5099,Übrige,#888888,Übrige
5110,EVP,#FFA500,EVP
5114,SVP,#4F7942,SVP
5115,Parteilos,#888888,Übrige
5121,GLP,#32CD32,GLP
5122,GLP,#32CD32,GLP
5123,EVP,#FFA500,EVP
5127,JG,#008000,Grüne
5134,SP,#FF0000,SP
5144,JUSO,#FF0000,SP
5157,JG,#008000,Grüne
5162,PdA,#888888,Übrige
5163,Grüne,#008000,Grüne
5166,GLP,#32CD32,GLP
5168,Die Mitte,#C56C46,Mitte
5173,GLP,#32CD32,GLP
5178,SP,#FF0000,SP
5180,SVP,#4F7942,SVP
5192,SVP,#4F7942,SVP
5195,Übrige,#888888,Übrige
5198,SVP,#4F7942,SVP
5199,FDP,#0000FF,FDP
5204,JM,#C56C46,Mitte
5206,EVP,#FFA500,EVP
5208,Grüne,#008000,Grüne
5216,GLP,#32CD32,GLP
5236,Die Mitte,#C56C46,Mitte
5237,SVP,#4F7942,SVP
5238,GLP,#32CD32,GLP
5239,Übrige,#888888,Übrige
5242,GLP,#32CD32,GLP
5245,PdA,#888888,Übrige
5248,JM,#C56C46,Mitte
5256,Übrige,#888888,Übrige
5264,Parteilos,#888888,Übrige
5265,Parteilos,#888888,Übrige
5267,JFS,#0000FF,FDP
5276,Übrige,#888888,Übrige
5279,EVP,#FFA500,EVP
5285,Die Mitte,#C56C46,Mitte
5290,Grüne,#008000,Grüne
5297,SVP,#4F7942,SVP
5301,JG,#008000,Grüne
5313,SP,#FF0000,SP
5315,JM,#C56C46,Mitte
5319,GLP,#32CD32,GLP
5320,SP,#FF0000,SP
